Summary & Legend,
,
Pages by Phase,
Phase,Page count
Phase 1 — Public website (launch),20
Phase 4 — Content programme (ongoing),2
Total pages,22
,
Pages by Section,
Section,Page count
Core / Shared,1
Freight Services,7
Driver Careers,5
Company,3
Content Programme,2
Legal / Utility,FALSE
,
Development Priority Legend,
P0,"Launch-critical — the pages that carry the shared entry point and the two primary conversions (freight quote, driver apply). Build first."
P1,"Launch — trust, self-qualification and second-step pages that materially affect conversion and SEO. Build in the first pass."
P2,Launch — supporting/niche program pages. Valuable but sequenced after P0/P1.
P3,Phased — the ongoing content programme (Phase 4). Build after the Phase 1 launch set.
